name,has_test,response_letter_required,salary_from,salary_to,salary_currency,salary_gross,employer_name,area_name
DevOps инженер,False,False,,,,,ЕВРАЗ,Ростов-на-Дону
DevOps инженер,False,False,,,,,ЕВРАЗ,Новокузнецк
DevOps инженер,False,False,,,,,ЕВРАЗ,Екатеринбург
DevOps инженер,False,False,,,,,"Оптиком, компания",Москва
DevOps инженер,False,False,200000,,RUR,False,"iiko, Компания Aйко",Москва
DevOps инженер,False,False,,,,,СИРИУС,Москва
DevOps инженер,False,False,,,,,QIWI,Москва
DevOps инженер,False,False,,,,,Техносерв Консалтинг,Москва
DevOps инженер,False,False,,,,,Сбербанк - Технологии,Санкт-Петербург
DevOps инженер,False,False,,,,,Сбербанк,Москва
DevOps инженер,False,False,,300000,RUR,False,БОЛЬШАЯ ТРОЙКА,Москва
DevOps инженер,False,False,,,,,MOS.RU,Самара
DevOps инженер,False,False,2000,4000,USD,False,ТаксДом (ИП Рожнов Александр Валерьевич),Москва
DevOps инженер,False,False,,,,,Банк ВТБ (ПАО),Москва
DevOps инженер,False,False,170000,,RUR,False,"iiko, Компания Aйко",Москва
DevOps инженер,False,False,,,,,Синерджи Тиам,Санкт-Петербург
DevOps инженер,False,False,,,,,Открытие Брокер,Москва
DevOps инженер,False,False,200000,,RUR,False,Cellar door,Москва
DevOps инженер,False,False,,,,,"EPAM Systems, Inc.",Москва
DevOps инженер,False,False,,,,,Айти. Бизнес Решения,Москва
DevOps инженер,False,False,,,,,Сбербанк,Москва
DevOps инженер,False,False,,220000,RUR,False,РобоФинанс,Владивосток
DevOps инженер,False,False,200000,,RUR,False,GOSOBLAKO,Москва
DevOps инженер,False,False,3500,5000,USD,False,Voronova I.N,Киев
DevOps инженер,False,False,,,,,ДОМ.РФ,Москва
DevOps инженер,False,False,,,,,Объединенная металлургическая компания,Москва
DevOps инженер,False,False,,,,,РНД поинт,Москва
DevOps инженер,False,False,,,,,Сиридар,Санкт-Петербург
DevOps инженер,False,False,,,,,RU-CENTER Group,Москва
DevOps инженер,False,False,,,,,First Line Software,Санкт-Петербург
DevOps инженер,False,False,,200000,RUR,False,Айти. Бизнес Решения,Москва
DevOps инженер,False,False,200000,250000,RUR,False,РобоФинанс,Новосибирск
DevOps инженер,False,False,250000,300000,RUR,False,Национальная Билетная Система,Москва
DevOps инженер,False,False,,,,,Мэпс.Ми Ру,Москва
DevOps инженер,False,False,,250000,RUR,False,Центр онлайн-обучения Нетология-групп,Москва
DevOps инженер,False,False,,,,,"Иннотех, Группа компаний",Москва
DevOps инженер,False,False,,,,,First Line Software,Санкт-Петербург
DevOps инженер,False,False,,,,,IT2G,Москва
DevOps инженер,False,False,,220000,RUR,False,РобоФинанс,Новосибирск
DevOps инженер,False,False,,,,,Alpha US Technology Inc.,Москва
DevOps инженер,False,False,,300000,RUR,False,Премиум ИТ Солюшен,Москва
DevOps инженер,False,False,150000,,RUR,False,Интелкон,Москва
DevOps инженер,False,False,180000,200000,RUR,False,Коркласс,Москва
DevOps инженер,False,False,,,,,Сбербанк,Москва
DevOps инженер,False,False,,,,,Рамакс Интернейшнл,Москва
DevOps инженер,False,False,,,,,"МАГНИТ, Розничная сеть",Москва
DevOps инженер,False,False,250000,,RUR,False,«Баланс-Платформа»,Москва
DevOps инженер,False,False,250000,,RUR,True,Dialog,Москва
DevOps инженер,False,False,,300000,RUR,True,СервисКлауд,Тула
DevOps инженер,False,False,,300000,RUR,True,СервисКлауд,Москва
DevOps инженер,False,False,200000,,RUR,False,GOSOBLAKO,Москва
DevOps инженер,False,False,,,,,Сбербанк,Москва
DevOps инженер,False,False,180000,,RUR,True,Прикладные технологии,Челябинск
DevOps инженер,False,False,250000,,RUR,False,Айти. Бизнес Решения,Москва
DevOps инженер,False,False,150000,200000,RUR,False,Головач Ольга,Москва
DevOps инженер,False,False,160000,300000,RUR,False,БОЛЬШАЯ ТРОЙКА,Москва
DevOps инженер,False,False,,740000,RUR,True,StakeWise,Москва
DevOps инженер,False,False,280000,300000,RUR,False,Коркласс,Москва
DevOps инженер,False,False,,210000,RUR,True,Билайн,Краснодар
DevOps инженер,False,False,,,,,Т1 Консалтинг,Москва
DevOps инженер,False,False,120000,220000,RUR,False,Моё дело,Санкт-Петербург
DevOps инженер,False,False,,,,,Lamoda,Казань
DevOps инженер,False,False,,,,,3DSmile,Москва
DevOps инженер,False,False,200000,250000,RUR,False,"ЧЕТЫРЕ ЛАПЫ, Сеть зоомагазинов",Казань
DevOps инженер,False,False,,,,,MOS.RU,Самара
DevOps инженер,False,False,200000,250000,RUR,False,"ЧЕТЫРЕ ЛАПЫ, Сеть зоомагазинов",Санкт-Петербург
DevOps инженер,False,False,200000,300000,RUR,False,Русштрафы,Москва
DevOps инженер,False,False,,240000,RUR,True,Девхаб,Москва
DevOps инженер,False,False,,350000,RUR,False,А17,Москва
DevOps инженер,False,False,200000,,RUR,False,Айти. Бизнес Решения,Москва
DevOps инженер,False,False,345000,430000,RUR,False,ExpAs,Москва
DevOps инженер,False,False,160000,300000,RUR,False,БОЛЬШАЯ ТРОЙКА,Москва
DevOps инженер,False,False,100000,200000,RUR,False,Mesh Group,Санкт-Петербург
DevOps инженер,False,False,,,,,"EPAM Systems, Inc.",Воронеж
DevOps инженер,False,False,200000,350000,RUR,False,Онлайн-школа Фоксфорд,Москва
DevOps инженер,False,False,180000,180000,RUR,True,O1 Properties,Москва
DevOps инженер,False,False,3000,,EUR,False,Employcity,Санкт-Петербург
DevOps инженер,False,False,250000,,RUR,False,NGRServices,Москва
DevOps инженер,False,False,250000,,RUR,False,Робин,Москва
DevOps инженер,False,False,220000,250000,RUR,False,INNOVA GROUP,Казань
DevOps инженер,False,False,,,,,СБЕР Решения,Москва
DevOps инженер,False,False,,,,,Газпром нефть,Санкт-Петербург
DevOps инженер,False,False,,,,,Сбербанк,Москва
DevOps инженер,False,False,,,,,Сбербанк,Санкт-Петербург
DevOps инженер,False,False,,,,,Сбербанк,Москва
DevOps инженер,False,False,65000,85000,RUR,True,Эмзиор,Санкт-Петербург
DevOps инженер,False,False,55000,60000,RUR,False,СевенПро,Москва
DevOps инженер,False,False,,,,,Сбербанк - Технологии,Санкт-Петербург
DevOps инженер,False,False,,,,,"Программный Продукт, ИТ-компания",Москва
DevOps инженер,False,False,,,,,RU-CENTER Group,Москва
DevOps инженер,False,False,,,,,Сбербанк - Технологии,Санкт-Петербург
DevOps инженер,False,False,,,,,Mail.ru Group,Москва
DevOps инженер,False,False,,,,,Mail.ru Group,Москва
DevOps инженер,False,False,,,,,Сбербанк,Москва
DevOps инженер,False,False,,,,,Сбербанк,Москва
DevOps инженер,False,False,,,,,Группа «Кронштадт»,Санкт-Петербург
DevOps инженер,False,False,180000,,RUR,False,KALABI,Москва
DevOps инженер,False,False,,,,,mail.ru group,Москва
DevOps инженер,False,False,,,,,АТОН,Москва
DevOps инженер,False,False,,,,,Сбербанк,Москва
DevOps инженер,False,False,,,,,Сбербанк,Москва
DevOps инженер,False,False,,,,,МТС,Москва
DevOps инженер,False,False,50000,,RUR,False,Эмзиор,Санкт-Петербург
DevOps инженер,False,False,,,,,Инфосистемы Джет,Москва
DevOps инженер,False,False,,,,,Сбербанк - Технологии,Москва
DevOps инженер,False,False,,,,,Сбербанк - Технологии,Москва
DevOps инженер,False,False,,,,,ГК Аплана,Москва
DevOps инженер,False,False,,,,,Сбербанк - Технологии,Москва
DevOps инженер,False,False,,,,,Сбербанк,Москва
DevOps инженер,False,False,,,,,Центр Орбита,Москва
DevOps инженер,False,False,,,,,Ребреин,Санкт-Петербург
DevOps инженер,False,False,150000,180000,RUR,False,Группа Компаний MVS,Санкт-Петербург
DevOps инженер,False,False,,,,,Selecty,Москва
DevOps инженер,False,False,,,,,it-aces.com,Ярославль
DevOps инженер,False,False,,400000,RUR,False,РобоФинанс,Москва
Сетевой администратор,False,False,80000,100000,RUR,False,Платежи Онлайн,Москва
Сетевой инженер,False,False,,,,,QIWI,Москва
Сетевой инженер,False,False,,,,,Ростелеком,Москва
Сетевой инженер,False,False,,,,,Сентинел Кредит Менеджмент,Москва
Сетевой инженер,False,False,50,90,RUR,True,Бифорком Тек,Москва
Сетевой инженер,False,False,,,,,"Протей, НТЦ",Санкт-Петербург
Сетевой инженер,False,False,,,,,ГКУ Инфогород,Москва
Сетевой инженер,False,False,,,,,Rubytech,Москва
Сетевой инженер,False,True,,,,,ГЛОНАСС МОБАЙЛ,Москва
Сетевой инженер,False,False,,,,,HUAWEI,Москва
Сетевой инженер,False,False,,160000,RUR,False,ЛайтНэт Комплекс,Москва
Сетевой инженер,False,False,,,,,Selecty,Москва
Сетевой инженер,False,False,,,,,Аспект,Москва
Сетевой инженер,False,False,,,,,ФОТОН ТЕЛЕКОМ,Москва
Сетевой инженер,False,False,,,,,АКАДО Телеком,Москва
Сетевой инженер,False,False,,,,,АКАДО Телеком,Москва
Сетевой инженер,False,False,,,,,Тинькофф,Москва
Сетевой инженер,False,False,,80000,RUR,True,Nokia Networks,Москва
Сетевой инженер,False,False,,,,,Росгосстрах,Москва
Сетевой инженер,False,False,80000,120000,RUR,False,Комс,Москва
Сетевой инженер,True,False,,,,,Газпром нефть,Санкт-Петербург
Сетевой инженер,False,False,100000,140000,RUR,False,ДС-Связь,Москва
Сетевой инженер,False,False,,,,,Гринатом,Москва
Сетевой инженер,False,False,60000,70000,RUR,False,ЮЛ-ком Медиа,Москва
Сетевой инженер,False,False,,,,,Social Quantum,Санкт-Петербург
Сетевой инженер,False,False,,,,,Тинькофф,Москва
Сетевой инженер,False,False,,,,,MANGO OFFICE,Москва
Сетевой инженер,False,False,100000,140000,RUR,False,ДС-Связь,Москва
Сетевой инженер,False,False,70000,,RUR,False,НПП БИЗНЕС СВЯЗЬ ХОЛДИНГ,Москва
Сетевой инженер,False,False,100000,110000,RUR,False,VIRIDIAN,Москва
Сетевой инженер,False,False,,,,,Ростелеком,Москва
Сетевой инженер,True,False,,,,,Газпром нефть,Санкт-Петербург
Системный администратор,False,False,,,,,SberDevices,Москва
Системный администратор,True,True,40000,45000,RUR,False,QuadCode,Санкт-Петербург
Системный администратор,False,False,60000,180000,RUR,False,Кронверк Лаб,Москва
Системный администратор,False,False,75000,75000,RUR,False,Теремъ,Москва
Системный администратор,False,False,,60000,RUR,False,Погорелова Маргарита Владимировна,Москва
Системный администратор,False,False,80000,100000,RUR,False,"Тануки, японский ресторан",Москва
Системный администратор,False,False,45000,,RUR,False,Приват Консалт,Москва
Системный администратор,False,False,40000,,RUR,True,Аллюр,Санкт-Петербург
Системный администратор,False,False,55000,,RUR,True,Медгуру,Москва
Системный администратор,False,False,,,,,Rendez-Vous,Москва
Системный администратор,False,False,80000,,RUR,True,НиКо-2001,Москва
Системный администратор,False,False,,,,,Модный Континент,Москва
Системный администратор,False,False,,,,,Экспобанк,Москва
Системный администратор,True,False,,,,,Лига Ставок,Москва
Системный администратор,False,False,,,,,СПб ГУП Санкт-Петербургский информационно-аналитический центр,Санкт-Петербург
Системный администратор,False,False,,,,,Канонфарма продакшн,Москва
Системный администратор,False,False,65000,85000,RUR,False,Media 108,Москва
Системный администратор,False,False,,,,,X-LAB,Москва
Системный администратор,False,False,,,,,Лига Ставок,Москва
Системный администратор,False,False,,,,,Л-ТЕХ,Москва
Системный администратор,False,False,,,,,TEZ TOUR,Москва
Системный администратор,False,False,,,,,Регистратор доменных имен РЕГ.РУ,Самара
Системный администратор,False,False,,,,,"ДИКСИ, группа компаний",Санкт-Петербург
Системный администратор,False,False,,,,,Сбербанк,Москва
Системный администратор,False,False,,,,,«Баланс-Платформа»,Москва
Системный администратор,False,False,,,,,СПЕКТРУМ ТБК,Санкт-Петербург
Системный администратор,False,False,,,,,ГК Аплана,Москва
Системный администратор,False,False,70000,90000,RUR,True,Котлин-Новатор,Санкт-Петербург
Системный администратор,False,False,,,,,МИЦ Известия,Санкт-Петербург
Системный администратор,False,False,,,,,Дуотек,Москва
Системный администратор,False,False,30000,,RUR,False,amoCRM,Москва
Системный администратор,True,False,,,,,Inventive Retail Group,Москва
Системный администратор,False,False,,,,,Альфа-Банк,Москва
Системный администратор,False,False,,,,,Союз Индустрия Профессионал,Москва
Системный администратор,True,False,,,,,Газпром нефть,Санкт-Петербург
Системный администратор,False,False,90000,,RUR,True,Роял Консалтинг Групп,Москва
Системный администратор,False,False,70000,,RUR,False,Компания МирБир,Санкт-Петербург
Системный администратор,False,False,,,,,2050.Digital,Москва
Системный администратор,False,False,60000,75000,RUR,False,СУШИШОП,Санкт-Петербург
Системный администратор,False,False,20000,70000,RUR,False,Сервис-Капитал,Санкт-Петербург
Системный администратор,False,False,,,,,"BeeTL, Агентство интегрированных коммуникаций",Москва
Системный администратор,False,False,,,,,QIWI,Москва
Системный администратор,False,False,50000,80000,RUR,False,Максконсалт,Москва
Системный администратор,False,False,25000,40000,RUR,True,Эксприус,Санкт-Петербург
Системный администратор,False,False,90000,120000,RUR,False,Инитлаб,Краснодар
Системный администратор,False,False,80000,,RUR,False,MANGO OFFICE,Москва
Системный администратор,False,False,,,,,Эвотор,Москва
Системный администратор,False,False,70000,,RUR,False,ГБУЗ ГКБ им В.В.Виноградова ДЗМ,Москва
Системный администратор,False,False,,,,,LEOMAX Group,Москва
Системный администратор,False,False,,,,,Typeable.io,Москва
Системный администратор,False,False,,,,,ЯСП,Санкт-Петербург
Системный администратор,False,False,,,,,Voximplant,Москва
Системный администратор,False,False,,,,,TUI Russia & CIS,Москва
Системный администратор,False,False,50000,60000,RUR,False,Sohorooms,Москва
Системный администратор,False,False,,,,,М.Видео-Эльдорадо,Москва
Системный администратор,False,False,45000,55000,RUR,False,ИКСД,Санкт-Петербург
Системный администратор,False,False,60000,60000,RUR,True,"РОЛЬФ, группа компаний",Москва
Системный администратор,False,False,50000,60000,RUR,True,КОНЦЕРН ВНИИНС,Москва
Системный администратор,False,False,,50000,RUR,False,АйТиСтор,Москва
Системный администратор,False,False,53000,60000,RUR,False,КантриКом,Москва
Системный администратор,True,False,30000,60000,RUR,False,Софтвайс,Санкт-Петербург
Системный администратор,True,False,50000,,RUR,False,Айлоджи АйТи Групп,Москва
Системный администратор,False,False,,,,,Wellink,Нижний Новгород
Системный администратор,False,False,,,,,ДомКлик,Новосибирск
Системный администратор,False,False,1300,2000,USD,False,Агентство Интернет-маркетинга Матадор,Киев
